SOM Pin,SOM Pin Name,CPU Pin
X2B68,X_VOUT2_D9,A20
X2B69,X_VOUT2_D10,B15
X2B70,X_VOUT2_D11,A15
X2B71,GND,
X2B72,X_VOUT2_D16,C18
X2B73,X_VOUT2_D17,A21
X2B74,X_VOUT2_D18,G16
X2B75,X_VOUT2_D19,D17
X2B76,GND,
X2B77,X_VOUT2_DE,G2
X2B78,X_VOUT2_CLK,H7
X2B79,X_VOUT2_HSYNC,G1
X2B80,X_VOUT2_VSYNC,G6
